,movie,year,imdb,metascore,votes,gross (usd),n_imdb
401,Hot Tub Time Machine,2010,6.4,63,153438,50287556,64.0
402,Tucker and Dale vs Evil,2010,7.5,65,152999,223838,75.0
403,The Heat,2013,6.6,60,152927,159582188,66.0
404,Melancholia,2011,7.2,80,152683,3029870,72.0
405,War Dogs,2016,7.1,57,152667,43017433,71.0
406,Resident Evil: Afterlife,2010,5.9,37,152621,60128566,59.0
407,Immortals,2011,6.0,46,152480,83504017,60.0
408,The Mummy,2017,5.5,34,152332,80101125,55.0
409,The Witch,2015,6.8,83,151603,25138292,68.0
410,Call Me by Your Name,2017,7.9,93,150866,18095701,79.0
411,Exodus: Gods and Kings,2014,6.0,52,150342,65014513,60.0
412,Wild Tales,2014,8.1,77,149569,3107072,81.0
413,The Girl on the Train,2016,6.5,48,149418,75395035,65.0
414,The Legend of Tarzan,2016,6.3,44,149020,126643061,63.0
415,The Green Hornet,2011,5.8,39,148176,98780042,58.0
416,RED 2,2013,6.6,47,148103,53262560,66.0
417,Atomic Blonde,2017,6.7,63,147992,51573925,67.0
418,The Ghost Writer,2010,7.2,77,147894,15541549,72.0
419,The Danish Girl,2015,7.1,66,145871,12706393,71.0
420,Evil Dead,2013,6.5,57,145694,54239856,65.0
421,Madagascar 3: Europe's Most Wanted,2012,6.8,60,145572,216391482,68.0
422,Hereditary,2018,7.3,87,145564,44069456,73.0
423,The Karate Kid,2010,6.2,61,145476,176591618,62.0
424,Rise of the Guardians,2012,7.3,57,144580,103412758,73.0
425,Riddick,2013,6.4,49,144176,42025135,64.0
426,Date Night,2010,6.3,56,144119,98711404,63.0
427,Horrible Bosses 2,2014,6.3,40,143514,54445357,63.0
428,The Sorcerer's Apprentice,2010,6.1,46,143233,63150991,61.0
429,Abraham Lincoln: Vampire Hunter,2012,5.9,42,142400,37519139,59.0
430,Enemy,2013,6.9,61,142018,1007088,69.0
431,Cinderella,2015,6.9,67,141217,201151353,69.0
432,The Mechanic,2011,6.6,49,140655,29121498,66.0
433,Insidious: Chapter 2,2013,6.6,40,140079,83586447,66.0
434,Saving Mr. Banks,2013,7.5,65,139897,83301580,75.0
435,Sin City: A Dame to Kill For,2014,6.5,46,139873,13757804,65.0
436,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,139645,87242834,67.0
437,Ocean's Eight,2018,6.2,61,139496,139377762,62.0
438,Fantastic Four,2015,4.3,27,139244,56117548,43.0
439,Buried,2010,7.0,65,138739,1028658,70.0
440,"I, Tonya",2017,7.5,77,138712,30014539,75.0
441,BlacKkKlansman,2018,7.5,83,138711,48686605,75.0
442,Valerian and the City of a Thousand Planets,2017,6.5,51,138071,41189488,65.0
443,The Age of Adaline,2015,7.2,51,138026,42478175,72.0
444,Steve Jobs,2015,7.2,82,137905,17766658,72.0
445,Legend,2015,7.0,55,137843,1872994,70.0
446,Underworld Awakening,2012,6.4,39,137804,62321039,64.0
447,Inferno,2016,6.2,42,137775,34343574,62.0
448,Cars 2,2011,6.2,57,137311,191452396,62.0
449,Man on a Ledge,2012,6.6,40,137132,18620000,66.0
